ref_source_normalized,url_entrada_normalized,url_salida_normalized,sessions,avg_duration_seconds,avg_clicks,avg_pages,bounce_proxy_rate,abandono_rapido_rate,frustration_rate,engagement_score_avg,flow_path
Direct/Unknown,https://landing.cloudlabs.media/,https://landing.cloudlabs.media/,34,219.6764705882353,1.7352941176470589,1.6470588235294117,1.0,0.6176470588235294,0.0,0.10023159539497195,Direct/Unknown -> https://landing.cloudlabs.media/ -> https://landing.cloudlabs.media/
Direct/Unknown,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/blogs-and-news,33,382.3939393939394,13.303030303030303,3.1818181818181817,0.0,0.0,0.09090909090909091,0.6522262152123988,Direct/Unknown -> https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND -> https://cloudlabslearning.com/blogs-and-news
Direct/Unknown,https://cloudlabslearning.com/terms-and-conditions,https://cloudlabslearning.com/terms-and-conditions,33,8.606060606060606,0.0,1.2424242424242424,1.0,0.8787878787878788,0.0,-0.4296772189263974,Direct/Unknown -> https://cloudlabslearning.com/terms-and-conditions -> https://cloudlabslearning.com/terms-and-conditions
Direct/Unknown,https://cloudlabslearning.com/,https://cloudlabslearning.com/about-cloudlabs,32,500.25,13.03125,3.96875,0.0,0.0,0.09375,0.9433650508312755,Direct/Unknown -> https://cloudlabslearning.com/ -> https://cloudlabslearning.com/about-cloudlabs
External,https://cloudlabslearning.com/pedagogical-approach,https://cloudlabslearning.com/pedagogical-approach,31,123.0,0.7741935483870968,1.096774193548387,1.0,0.9354838709677419,0.0,-0.15097042154049947,External -> https://cloudlabslearning.com/pedagogical-approach -> https://cloudlabslearning.com/pedagogical-approach
Direct/Unknown,https://cloudlabslearning.com/blogs-and-news,https://cloudlabslearning.com/blogs-and-news,31,539.1612903225806,0.5806451612903226,1.3870967741935485,1.0,0.7741935483870968,0.0,0.8417889221786531,Direct/Unknown -> https://cloudlabslearning.com/blogs-and-news -> https://cloudlabslearning.com/blogs-and-news
Direct/Unknown,https://cloudlabslearning.com/,https://cloudlabslearning.com/middle-school,30,592.7666666666667,14.9,4.333333333333333,0.0,0.0,0.06666666666666667,1.1921544127105264,Direct/Unknown -> https://cloudlabslearning.com/ -> https://cloudlabslearning.com/middle-school
External,https://cloudlabslearning.com/,https://cloudlabslearning.com/request-demo,29,744.8275862068965,17.275862068965516,4.413793103448276,0.0,0.0,0.13793103448275862,1.5835383051454506,External -> https://cloudlabslearning.com/ -> https://cloudlabslearning.com/request-demo
Direct/Unknown,https://cloudlabslearning.com/innovative-education,https://cloudlabslearning.com/innovative-education,29,43.89655172413793,1.0,1.206896551724138,1.0,0.896551724137931,0.0,-0.3344759801250964,Direct/Unknown -> https://cloudlabslearning.com/innovative-education -> https://cloudlabslearning.com/innovative-education
Direct/Unknown,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/curriculum,29,617.3448275862069,22.482758620689655,4.931034482758621,0.0,0.0,0.0,1.351460586136149,Direct/Unknown -> https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND -> https://cloudlabslearning.com/curriculum
